patient_text,symptoms,training_text,disease,risk_hint,category
"I have appetite loss, vomiting, right lower abdominal pain, abdominal pain, fever and nausea and the discomfort has been there for 3 days.",appetite loss|vomiting|right lower abdominal pain|abdominal pain|fever|nausea,"I have appetite loss, vomiting, right lower abdominal pain, abdominal pain, fever and nausea and the discomfort has been there for 3 days. Symptoms: appetite loss, vomiting, right lower abdominal pain, abdominal pain, fever, nausea",Appendicitis Concern,HIGH,GI
"For the last 3 days, I have been dealing with fatigue, shortness of breath, cough, wheezing and heartburn.",fatigue|shortness of breath|cough|wheezing|heartburn,"For the last 3 days, I have been dealing with fatigue, shortness of breath, cough, wheezing and heartburn. Symptoms: fatigue, shortness of breath, cough, wheezing, heartburn",Asthma Exacerbation,HIGH,Respiratory
Patient reports runny nose and sore throat since 5 days.,runny nose|sore throat,"Patient reports runny nose and sore throat since 5 days. Symptoms: runny nose, sore throat",Sinusitis,LOW,Respiratory
There is pain near my spleen area for 5 days.,left upper abdominal pain,There is pain near my spleen area for 5 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
These symptoms started 2 days ago: bloating and appetite loss.,bloating|appetite loss,"These symptoms started 2 days ago: bloating and appetite loss. Symptoms: bloating, appetite loss",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Over the last 3 days, I am experiencing congestion and itchy eyes.",congestion|itchy eyes,"Over the last 3 days, I am experiencing congestion and itchy eyes. Symptoms: congestion, itchy eyes",Allergic Rhinitis,LOW,Allergy
Patient reports blurred vision and excessive thirst since 4 days.,blurred vision|excessive thirst,"Patient reports blurred vision and excessive thirst since 4 days. Symptoms: blurred vision, excessive thirst",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
My lower back hurts after lifting something heavy for 3 days.,body ache|fatigue|stiffness|back pain,"My lower back hurts after lifting something heavy for 3 days. Symptoms: body ache, fatigue, stiffness, back pain",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Over the last 2 days, I am experiencing loss of smell, loss of taste and cough.",loss of smell|loss of taste|cough,"Over the last 2 days, I am experiencing loss of smell, loss of taste and cough. Symptoms: loss of smell, loss of taste, cough",COVID-19,HIGH,Respiratory
"Over the last 2 days, I am experiencing fever and rash.",fever|rash,"Over the last 2 days, I am experiencing fever and rash. Symptoms: fever, rash",Dengue-like Viral Fever,MEDIUM,Fever
I have localized pain under the left ribs for 5 days.,left upper abdominal pain,I have localized pain under the left ribs for 5 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"Since 2 days, I have had headache, ear pain, sore throat and fever.",headache|ear pain|sore throat|fever,"Since 2 days, I have had headache, ear pain, sore throat and fever. Symptoms: headache, ear pain, sore throat, fever",Ear Infection,MEDIUM,ENT
"For the last 4 days, I have been dealing with wheezing, fatigue and heartburn.",wheezing|fatigue|heartburn,"For the last 4 days, I have been dealing with wheezing, fatigue and heartburn. Symptoms: wheezing, fatigue, heartburn",Asthma Exacerbation,HIGH,Respiratory
"These symptoms started 1 week ago: back pain, fever, burning urination and excessive thirst.",back pain|fever|burning urination|excessive thirst,"These symptoms started 1 week ago: back pain, fever, burning urination and excessive thirst. Symptoms: back pain, fever, burning urination, excessive thirst",Urinary Tract Infection,MEDIUM,Genitourinary
"Over the last 2 days, I am experiencing fatigue, shortness of breath, fever, chest pain and cough.",fatigue|shortness of breath|fever|chest pain|cough,"Over the last 2 days, I am experiencing fatigue, shortness of breath, fever, chest pain and cough. Symptoms: fatigue, shortness of breath, fever, chest pain, cough",Pneumonia,HIGH,Respiratory
"I have vomiting, abdominal pain, nausea and right lower abdominal pain and the discomfort has been there for 5 days.",vomiting|abdominal pain|nausea|right lower abdominal pain,"I have vomiting, abdominal pain, nausea and right lower abdominal pain and the discomfort has been there for 5 days. Symptoms: vomiting, abdominal pain, nausea, right lower abdominal pain",Appendicitis Concern,HIGH,GI
My main problems are sore throat and ear pain and it started 4 days ago.,sore throat|ear pain,"My main problems are sore throat and ear pain and it started 4 days ago. Symptoms: sore throat, ear pain",Ear Infection,MEDIUM,ENT
"I have abdominal pain, right lower abdominal pain, vomiting, appetite loss, fever, nausea and heartburn and the discomfort has been there for 2 days.",abdominal pain|right lower abdominal pain|vomiting|appetite loss|fever|nausea|heartburn,"I have abdominal pain, right lower abdominal pain, vomiting, appetite loss, fever, nausea and heartburn and the discomfort has been there for 2 days. Symptoms: abdominal pain, right lower abdominal pain, vomiting, appetite loss, fever, nausea, heartburn",Appendicitis Concern,HIGH,GI
"I have been noticing headache, body ache, fever, cough, fatigue and chills over the past 1 week.",headache|body ache|fever|cough|fatigue|chills,"I have been noticing headache, body ache, fever, cough, fatigue and chills over the past 1 week. Symptoms: headache, body ache, fever, cough, fatigue, chills",Influenza,MEDIUM,Respiratory
"For the last 1 day, I have been dealing with congestion, itchy eyes, sneezing and stiffness.",congestion|itchy eyes|sneezing|stiffness,"For the last 1 day, I have been dealing with congestion, itchy eyes, sneezing and stiffness. Symptoms: congestion, itchy eyes, sneezing, stiffness",Allergic Rhinitis,LOW,Allergy
"Over the last 1 week, I am experiencing bloating, heartburn and nausea.",bloating|heartburn|nausea,"Over the last 1 week, I am experiencing bloating, heartburn and nausea. Symptoms: bloating, heartburn, nausea",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"I have been noticing dizziness, sensitivity to light, headache and nausea over the past 5 days.",dizziness|sensitivity to light|headache|nausea,"I have been noticing dizziness, sensitivity to light, headache and nausea over the past 5 days. Symptoms: dizziness, sensitivity to light, headache, nausea",Migraine,LOW,Neurology
"Since 2 days, I have had body ache, stiffness and chills.",body ache|stiffness|chills,"Since 2 days, I have had body ache, stiffness and chills. Symptoms: body ache, stiffness, chills",Musculoskeletal Back Strain,LOW,Musculoskeletal
"I have been noticing cough, wheezing and chills over the past 2 days.",cough|wheezing|chills,"I have been noticing cough, wheezing and chills over the past 2 days. Symptoms: cough, wheezing, chills",Asthma Exacerbation,HIGH,Respiratory
"I have vomiting, appetite loss, fever, right lower abdominal pain and nausea and the discomfort has been there for 1 day.",vomiting|appetite loss|fever|right lower abdominal pain|nausea,"I have vomiting, appetite loss, fever, right lower abdominal pain and nausea and the discomfort has been there for 1 day. Symptoms: vomiting, appetite loss, fever, right lower abdominal pain, nausea",Appendicitis Concern,HIGH,GI
"Since 2 days, I have had vomiting, blood in urine and headache.",vomiting|blood in urine|headache,"Since 2 days, I have had vomiting, blood in urine and headache. Symptoms: vomiting, blood in urine, headache",Kidney Stone / Renal Colic,HIGH,Genitourinary
"I have sore throat, runny nose, cough and sneezing for 5 days.",sore throat|runny nose|cough|sneezing,"I have sore throat, runny nose, cough and sneezing for 5 days. Symptoms: sore throat, runny nose, cough, sneezing",Common Cold,LOW,Respiratory
My main problems are fever and back pain and it started 4 days ago.,fever|back pain,"My main problems are fever and back pain and it started 4 days ago. Symptoms: fever, back pain",Urinary Tract Infection,MEDIUM,Genitourinary
"I have been noticing body ache, stiffness and fatigue over the past 1 week.",body ache|stiffness|fatigue,"I have been noticing body ache, stiffness and fatigue over the past 1 week. Symptoms: body ache, stiffness, fatigue",Musculoskeletal Back Strain,LOW,Musculoskeletal
"My main problems are chest pain, wheezing, fatigue, fever and cough and it started 2 days ago.",chest pain|wheezing|fatigue|fever|cough,"My main problems are chest pain, wheezing, fatigue, fever and cough and it started 2 days ago. Symptoms: chest pain, wheezing, fatigue, fever, cough",Bronchitis,MEDIUM,Respiratory
"I have fatigue, chest pain, wheezing and heartburn for 1 week.",fatigue|chest pain|wheezing|heartburn,"I have fatigue, chest pain, wheezing and heartburn for 1 week. Symptoms: fatigue, chest pain, wheezing, heartburn",Bronchitis,MEDIUM,Respiratory
"Over the last 4 days, I am experiencing fever, fatigue, chest pain, shortness of breath, cough and dizziness.",fever|fatigue|chest pain|shortness of breath|cough|dizziness,"Over the last 4 days, I am experiencing fever, fatigue, chest pain, shortness of breath, cough and dizziness. Symptoms: fever, fatigue, chest pain, shortness of breath, cough, dizziness",Pneumonia,HIGH,Respiratory
"My main problems are fever, wheezing, chest pain and fatigue and it started 1 day ago.",fever|wheezing|chest pain|fatigue,"My main problems are fever, wheezing, chest pain and fatigue and it started 1 day ago. Symptoms: fever, wheezing, chest pain, fatigue",Bronchitis,MEDIUM,Respiratory
"Patient reports cough, fever and bloating since 1 week.",cough|fever|bloating,"Patient reports cough, fever and bloating since 1 week. Symptoms: cough, fever, bloating",Bronchitis,MEDIUM,Respiratory
"For the last 1 week, I have been dealing with sneezing, runny nose, sore throat and congestion.",sneezing|runny nose|sore throat|congestion,"For the last 1 week, I have been dealing with sneezing, runny nose, sore throat and congestion. Symptoms: sneezing, runny nose, sore throat, congestion",Common Cold,LOW,Respiratory
"I have been noticing nausea, abdominal pain and appetite loss over the past 3 days.",nausea|abdominal pain|appetite loss,"I have been noticing nausea, abdominal pain and appetite loss over the past 3 days. Symptoms: nausea, abdominal pain, appetite loss",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"My main problems are fever, sore throat, fatigue, swollen glands and headache and it started 5 days ago.",fever|sore throat|fatigue|swollen glands|headache,"My main problems are fever, sore throat, fatigue, swollen glands and headache and it started 5 days ago. Symptoms: fever, sore throat, fatigue, swollen glands, headache",Mononucleosis-like Illness,MEDIUM,Infectious
"Patient reports burning urination, fever, frequent urination, back pain and blurred vision since 2 days.",burning urination|fever|frequent urination|back pain|blurred vision,"Patient reports burning urination, fever, frequent urination, back pain and blurred vision since 2 days. Symptoms: burning urination, fever, frequent urination, back pain, blurred vision",Urinary Tract Infection,MEDIUM,Genitourinary
There is blood in my urine with sharp side pain for 4 days.,burning urination|back pain|vomiting|nausea|blood in urine|stiffness,"There is blood in my urine with sharp side pain for 4 days. Symptoms: burning urination, back pain, vomiting, nausea, blood in urine, stiffness",Kidney Stone / Renal Colic,HIGH,Genitourinary
"For the last 1 week, I have been dealing with dehydration, vomiting, abdominal pain and heartburn.",dehydration|vomiting|abdominal pain|heartburn,"For the last 1 week, I have been dealing with dehydration, vomiting, abdominal pain and heartburn. Symptoms: dehydration, vomiting, abdominal pain, heartburn",Gastroenteritis,MEDIUM,GI
"My main problems are itchy eyes, sneezing, congestion and runny nose and it started 4 days ago.",itchy eyes|sneezing|congestion|runny nose,"My main problems are itchy eyes, sneezing, congestion and runny nose and it started 4 days ago. Symptoms: itchy eyes, sneezing, congestion, runny nose",Allergic Rhinitis,LOW,Allergy
"I have sneezing, sore throat, cough and runny nose for 4 days.",sneezing|sore throat|cough|runny nose,"I have sneezing, sore throat, cough and runny nose for 4 days. Symptoms: sneezing, sore throat, cough, runny nose",Common Cold,LOW,Respiratory
"Over the last 1 week, I am experiencing back pain and frequent urination.",back pain|frequent urination,"Over the last 1 week, I am experiencing back pain and frequent urination. Symptoms: back pain, frequent urination",Urinary Tract Infection,MEDIUM,Genitourinary
"Since 1 week, I have had blurred vision and frequent urination.",blurred vision|frequent urination,"Since 1 week, I have had blurred vision and frequent urination. Symptoms: blurred vision, frequent urination",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"These symptoms started 1 week ago: blood in urine, burning urination, nausea and chills.",blood in urine|burning urination|nausea|chills,"These symptoms started 1 week ago: blood in urine, burning urination, nausea and chills. Symptoms: blood in urine, burning urination, nausea, chills",Kidney Stone / Renal Colic,HIGH,Genitourinary
"These symptoms started 4 days ago: headache, sensitivity to light and nausea.",headache|sensitivity to light|nausea,"These symptoms started 4 days ago: headache, sensitivity to light and nausea. Symptoms: headache, sensitivity to light, nausea",Migraine,LOW,Neurology
These symptoms started 4 days ago: fever and ear pain.,fever|ear pain,"These symptoms started 4 days ago: fever and ear pain. Symptoms: fever, ear pain",Ear Infection,MEDIUM,ENT
I have been noticing frequent urination and fever over the past 4 days.,frequent urination|fever,"I have been noticing frequent urination and fever over the past 4 days. Symptoms: frequent urination, fever",Urinary Tract Infection,MEDIUM,Genitourinary
"I have chills, cough, fever and heartburn for 3 days.",chills|cough|fever|heartburn,"I have chills, cough, fever and heartburn for 3 days. Symptoms: chills, cough, fever, heartburn",Influenza,MEDIUM,Respiratory
There is pain near my spleen area for 4 days.,left upper abdominal pain,There is pain near my spleen area for 4 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have cough, loss of smell, fever and fatigue for 2 days.",cough|loss of smell|fever|fatigue,"I have cough, loss of smell, fever and fatigue for 2 days. Symptoms: cough, loss of smell, fever, fatigue",COVID-19,HIGH,Respiratory
"I have sore throat, cough, sneezing, runny nose and chills for 4 days.",sore throat|cough|sneezing|runny nose|chills,"I have sore throat, cough, sneezing, runny nose and chills for 4 days. Symptoms: sore throat, cough, sneezing, runny nose, chills",Common Cold,LOW,Respiratory
"For the last 3 days, I have been dealing with burning urination and back pain.",burning urination|back pain,"For the last 3 days, I have been dealing with burning urination and back pain. Symptoms: burning urination, back pain",Urinary Tract Infection,MEDIUM,Genitourinary
"Patient reports runny nose, sore throat and congestion since 1 week.",runny nose|sore throat|congestion,"Patient reports runny nose, sore throat and congestion since 1 week. Symptoms: runny nose, sore throat, congestion",Sinusitis,LOW,Respiratory
"I have blurred vision, excessive thirst and frequent urination for 2 days.",blurred vision|excessive thirst|frequent urination,"I have blurred vision, excessive thirst and frequent urination for 2 days. Symptoms: blurred vision, excessive thirst, frequent urination",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"These symptoms started 4 days ago: headache, ear pain, sore throat and fever.",headache|ear pain|sore throat|fever,"These symptoms started 4 days ago: headache, ear pain, sore throat and fever. Symptoms: headache, ear pain, sore throat, fever",Ear Infection,MEDIUM,ENT
"Over the last 3 days, I am experiencing loss of smell, shortness of breath, loss of taste, fever, fatigue, cough and dizziness.",loss of smell|shortness of breath|loss of taste|fever|fatigue|cough|dizziness,"Over the last 3 days, I am experiencing loss of smell, shortness of breath, loss of taste, fever, fatigue, cough and dizziness. Symptoms: loss of smell, shortness of breath, loss of taste, fever, fatigue, cough, dizziness",COVID-19,HIGH,Respiratory
"These symptoms started 2 days ago: cough, fever, loss of taste and loss of smell.",cough|fever|loss of taste|loss of smell,"These symptoms started 2 days ago: cough, fever, loss of taste and loss of smell. Symptoms: cough, fever, loss of taste, loss of smell",COVID-19,HIGH,Respiratory
"Patient reports fatigue, fever and congestion since 2 days.",fatigue|fever|congestion,"Patient reports fatigue, fever and congestion since 2 days. Symptoms: fatigue, fever, congestion",Bronchitis,MEDIUM,Respiratory
"For 2 days, my back has been aching after physical strain.",body ache|back pain|stiffness|blurred vision,"For 2 days, my back has been aching after physical strain. Symptoms: body ache, back pain, stiffness, blurred vision",Musculoskeletal Back Strain,LOW,Musculoskeletal
"The pain has been appetite loss, vomiting, nausea, right lower abdominal pain and abdominal pain for 1 week.",appetite loss|vomiting|nausea|right lower abdominal pain|abdominal pain,"The pain has been appetite loss, vomiting, nausea, right lower abdominal pain and abdominal pain for 1 week. Symptoms: appetite loss, vomiting, nausea, right lower abdominal pain, abdominal pain",Appendicitis Concern,HIGH,GI
"Since 3 days, I have had wheezing, fatigue, fever, chest pain and blurred vision.",wheezing|fatigue|fever|chest pain|blurred vision,"Since 3 days, I have had wheezing, fatigue, fever, chest pain and blurred vision. Symptoms: wheezing, fatigue, fever, chest pain, blurred vision",Bronchitis,MEDIUM,Respiratory
I strained my back and now have lower back pain with stiffness for 4 days.,back pain|fatigue|body ache|stiffness,"I strained my back and now have lower back pain with stiffness for 4 days. Symptoms: back pain, fatigue, body ache, stiffness",Musculoskeletal Back Strain,LOW,Musculoskeletal
"For the last 1 week, my glucose has been high and I also have excessive thirst, fatigue, blurred vision and heartburn.",excessive thirst|fatigue|high blood sugar|blurred vision|heartburn,"For the last 1 week, my glucose has been high and I also have excessive thirst, fatigue, blurred vision and heartburn. Symptoms: excessive thirst, fatigue, high blood sugar, blurred vision, heartburn",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
My lower back hurts after lifting something heavy for 4 days.,back pain|fatigue|body ache|stiffness,"My lower back hurts after lifting something heavy for 4 days. Symptoms: back pain, fatigue, body ache, stiffness",Musculoskeletal Back Strain,LOW,Musculoskeletal
"These symptoms started 4 days ago: cough, fatigue, chest pain and blurred vision.",cough|fatigue|chest pain|blurred vision,"These symptoms started 4 days ago: cough, fatigue, chest pain and blurred vision. Symptoms: cough, fatigue, chest pain, blurred vision",Pneumonia,HIGH,Respiratory
"My main problems are chest pain, fever, cough and wheezing and it started 1 day ago.",chest pain|fever|cough|wheezing,"My main problems are chest pain, fever, cough and wheezing and it started 1 day ago. Symptoms: chest pain, fever, cough, wheezing",Bronchitis,MEDIUM,Respiratory
"I have nausea, rash, body ache and headache for 4 days.",nausea|rash|body ache|headache,"I have nausea, rash, body ache and headache for 4 days. Symptoms: nausea, rash, body ache, headache",Dengue-like Viral Fever,MEDIUM,Fever
"My symptoms are hard to describe, mostly pain around my spleen region for 1 day.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 1 day. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"These symptoms started 3 days ago: fever, fatigue, body ache and chills.",fever|fatigue|body ache|chills,"These symptoms started 3 days ago: fever, fatigue, body ache and chills. Symptoms: fever, fatigue, body ache, chills",Influenza,MEDIUM,Respiratory
"I have loss of taste, fever and loss of smell for 1 day.",loss of taste|fever|loss of smell,"I have loss of taste, fever and loss of smell for 1 day. Symptoms: loss of taste, fever, loss of smell",COVID-19,HIGH,Respiratory
My main problems are nausea and blood in urine and it started 5 days ago.,nausea|blood in urine,"My main problems are nausea and blood in urine and it started 5 days ago. Symptoms: nausea, blood in urine",Kidney Stone / Renal Colic,HIGH,Genitourinary
"I have been noticing wheezing, chest pain, fatigue, fever and bloating over the past 2 days.",wheezing|chest pain|fatigue|fever|bloating,"I have been noticing wheezing, chest pain, fatigue, fever and bloating over the past 2 days. Symptoms: wheezing, chest pain, fatigue, fever, bloating",Bronchitis,MEDIUM,Respiratory
"These symptoms started 3 days ago: abdominal pain, diarrhea, nausea and congestion.",abdominal pain|diarrhea|nausea|congestion,"These symptoms started 3 days ago: abdominal pain, diarrhea, nausea and congestion. Symptoms: abdominal pain, diarrhea, nausea, congestion",Gastroenteritis,MEDIUM,GI
My main problems are shortness of breath and fatigue and it started 5 days ago.,shortness of breath|fatigue,"My main problems are shortness of breath and fatigue and it started 5 days ago. Symptoms: shortness of breath, fatigue",Pneumonia,HIGH,Respiratory
I feel unusual pain around the left upper side of my abdomen for 1 day.,left upper abdominal pain,I feel unusual pain around the left upper side of my abdomen for 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"The pain has been abdominal pain, fever and right lower abdominal pain for 4 days.",abdominal pain|fever|right lower abdominal pain,"The pain has been abdominal pain, fever and right lower abdominal pain for 4 days. Symptoms: abdominal pain, fever, right lower abdominal pain",Appendicitis Concern,HIGH,GI
There is pain near my spleen area for 1 week.,left upper abdominal pain,There is pain near my spleen area for 1 week. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have body ache, stiffness and fatigue for 3 days.",body ache|stiffness|fatigue,"I have body ache, stiffness and fatigue for 3 days. Symptoms: body ache, stiffness, fatigue",Musculoskeletal Back Strain,LOW,Musculoskeletal
"I have been noticing fever, swollen glands and congestion over the past 2 days.",fever|swollen glands|congestion,"I have been noticing fever, swollen glands and congestion over the past 2 days. Symptoms: fever, swollen glands, congestion",Mononucleosis-like Illness,MEDIUM,Infectious
I have congestion and runny nose for 3 days.,congestion|runny nose,"I have congestion and runny nose for 3 days. Symptoms: congestion, runny nose",Allergic Rhinitis,LOW,Allergy
"I have runny nose, sneezing, sore throat and excessive thirst for 5 days.",runny nose|sneezing|sore throat|excessive thirst,"I have runny nose, sneezing, sore throat and excessive thirst for 5 days. Symptoms: runny nose, sneezing, sore throat, excessive thirst",Common Cold,LOW,Respiratory
"I have itchy eyes, congestion, runny nose and sneezing for 1 week.",itchy eyes|congestion|runny nose|sneezing,"I have itchy eyes, congestion, runny nose and sneezing for 1 week. Symptoms: itchy eyes, congestion, runny nose, sneezing",Allergic Rhinitis,LOW,Allergy
I strained my back and now have lower back pain with stiffness for 3 days.,back pain|stiffness|fatigue|headache,"I strained my back and now have lower back pain with stiffness for 3 days. Symptoms: back pain, stiffness, fatigue, headache",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Over the last 1 week, I am experiencing cough, fatigue, body ache and fever.",cough|fatigue|body ache|fever,"Over the last 1 week, I am experiencing cough, fatigue, body ache and fever. Symptoms: cough, fatigue, body ache, fever",Influenza,MEDIUM,Respiratory
"For the last 1 day, my glucose has been high and I also have blurred vision.",blurred vision|high blood sugar,"For the last 1 day, my glucose has been high and I also have blurred vision. Symptoms: blurred vision, high blood sugar",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"Over the last 5 days, I am experiencing back pain, burning urination, fever and frequent urination.",back pain|burning urination|fever|frequent urination,"Over the last 5 days, I am experiencing back pain, burning urination, fever and frequent urination. Symptoms: back pain, burning urination, fever, frequent urination",Urinary Tract Infection,MEDIUM,Genitourinary
My main problems are cough and shortness of breath and it started 4 days ago.,cough|shortness of breath,"My main problems are cough and shortness of breath and it started 4 days ago. Symptoms: cough, shortness of breath",Pneumonia,HIGH,Respiratory
"For the last 3 days, I have been dealing with runny nose, sneezing and stiffness.",runny nose|sneezing|stiffness,"For the last 3 days, I have been dealing with runny nose, sneezing and stiffness. Symptoms: runny nose, sneezing, stiffness",Allergic Rhinitis,LOW,Allergy
I have been noticing wheezing and cough over the past 1 week.,wheezing|cough,"I have been noticing wheezing and cough over the past 1 week. Symptoms: wheezing, cough",Asthma Exacerbation,HIGH,Respiratory
I have flank pain and blood in my urine for 1 week.,nausea|vomiting|back pain|burning urination|blood in urine|dizziness,"I have flank pain and blood in my urine for 1 week. Symptoms: nausea, vomiting, back pain, burning urination, blood in urine, dizziness",Kidney Stone / Renal Colic,HIGH,Genitourinary
"My main problems are vomiting, nausea, burning urination and headache and it started 1 week ago.",vomiting|nausea|burning urination|headache,"My main problems are vomiting, nausea, burning urination and headache and it started 1 week ago. Symptoms: vomiting, nausea, burning urination, headache",Kidney Stone / Renal Colic,HIGH,Genitourinary
I have left upper abdominal discomfort under my ribs for 3 days.,left upper abdominal pain,I have left upper abdominal discomfort under my ribs for 3 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
My main problems are diarrhea and vomiting and it started 1 day ago.,diarrhea|vomiting,"My main problems are diarrhea and vomiting and it started 1 day ago. Symptoms: diarrhea, vomiting",Gastroenteritis,MEDIUM,GI
"Patient reports wheezing, shortness of breath, cough and chest pain since 5 days.",wheezing|shortness of breath|cough|chest pain,"Patient reports wheezing, shortness of breath, cough and chest pain since 5 days. Symptoms: wheezing, shortness of breath, cough, chest pain",Asthma Exacerbation,HIGH,Respiratory
"These symptoms started 2 days ago: fever, rash, body ache, nausea and blurred vision.",fever|rash|body ache|nausea|blurred vision,"These symptoms started 2 days ago: fever, rash, body ache, nausea and blurred vision. Symptoms: fever, rash, body ache, nausea, blurred vision",Dengue-like Viral Fever,MEDIUM,Fever
"I have runny nose, sneezing and sore throat for 3 days.",runny nose|sneezing|sore throat,"I have runny nose, sneezing and sore throat for 3 days. Symptoms: runny nose, sneezing, sore throat",Common Cold,LOW,Respiratory
I have left upper abdominal discomfort under my ribs for 1 day.,left upper abdominal pain,I have left upper abdominal discomfort under my ribs for 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have wheezing, fatigue, chest pain, shortness of breath and blurred vision for 1 day.",wheezing|fatigue|chest pain|shortness of breath|blurred vision,"I have wheezing, fatigue, chest pain, shortness of breath and blurred vision for 1 day. Symptoms: wheezing, fatigue, chest pain, shortness of breath, blurred vision",Asthma Exacerbation,HIGH,Respiratory
I have rash and nausea for 5 days.,rash|nausea,"I have rash and nausea for 5 days. Symptoms: rash, nausea",Dengue-like Viral Fever,MEDIUM,Fever
"Over the last 4 days, I am experiencing headache, cough, body ache, fatigue, chills and fever.",headache|cough|body ache|fatigue|chills|fever,"Over the last 4 days, I am experiencing headache, cough, body ache, fatigue, chills and fever. Symptoms: headache, cough, body ache, fatigue, chills, fever",Influenza,MEDIUM,Respiratory
"Over the last 2 days, I am experiencing headache, sore throat and stiffness.",headache|sore throat|stiffness,"Over the last 2 days, I am experiencing headache, sore throat and stiffness. Symptoms: headache, sore throat, stiffness",Ear Infection,MEDIUM,ENT
These symptoms started 1 day ago: rash and headache.,rash|headache,"These symptoms started 1 day ago: rash and headache. Symptoms: rash, headache",Dengue-like Viral Fever,MEDIUM,Fever
"Over the last 1 day, I am experiencing ear pain, headache, sore throat and fever.",ear pain|headache|sore throat|fever,"Over the last 1 day, I am experiencing ear pain, headache, sore throat and fever. Symptoms: ear pain, headache, sore throat, fever",Ear Infection,MEDIUM,ENT
"My symptoms are hard to describe, mostly pain around my spleen region for 4 days.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 4 days. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"My main problems are fever, body ache, rash, nausea and excessive thirst and it started 1 day ago.",fever|body ache|rash|nausea|excessive thirst,"My main problems are fever, body ache, rash, nausea and excessive thirst and it started 1 day ago. Symptoms: fever, body ache, rash, nausea, excessive thirst",Dengue-like Viral Fever,MEDIUM,Fever
"Patient reports burning urination, frequent urination, back pain and fever since 1 day.",burning urination|frequent urination|back pain|fever,"Patient reports burning urination, frequent urination, back pain and fever since 1 day. Symptoms: burning urination, frequent urination, back pain, fever",Urinary Tract Infection,MEDIUM,Genitourinary
"For the last 1 week, I have been dealing with nausea and bloating.",nausea|bloating,"For the last 1 week, I have been dealing with nausea and bloating. Symptoms: nausea, bloating",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Patient reports vomiting, dehydration, abdominal pain, nausea and chills since 3 days.",vomiting|dehydration|abdominal pain|nausea|chills,"Patient reports vomiting, dehydration, abdominal pain, nausea and chills since 3 days. Symptoms: vomiting, dehydration, abdominal pain, nausea, chills",Gastroenteritis,MEDIUM,GI
"Over the last 1 day, I am experiencing ear pain, sore throat, headache, fever and dizziness.",ear pain|sore throat|headache|fever|dizziness,"Over the last 1 day, I am experiencing ear pain, sore throat, headache, fever and dizziness. Symptoms: ear pain, sore throat, headache, fever, dizziness",Ear Infection,MEDIUM,ENT
"I have been noticing rash, fever, headache, nausea, body ache and bloating over the past 4 days.",rash|fever|headache|nausea|body ache|bloating,"I have been noticing rash, fever, headache, nausea, body ache and bloating over the past 4 days. Symptoms: rash, fever, headache, nausea, body ache, bloating",Dengue-like Viral Fever,MEDIUM,Fever
"My main problems are chest pain, fatigue, fever and cough and it started 2 days ago.",chest pain|fatigue|fever|cough,"My main problems are chest pain, fatigue, fever and cough and it started 2 days ago. Symptoms: chest pain, fatigue, fever, cough",Pneumonia,HIGH,Respiratory
My main problems are chest pain and cough and it started 1 week ago.,chest pain|cough,"My main problems are chest pain and cough and it started 1 week ago. Symptoms: chest pain, cough",Asthma Exacerbation,HIGH,Respiratory
"My main problems are burning urination, back pain and fever and it started 1 day ago.",burning urination|back pain|fever,"My main problems are burning urination, back pain and fever and it started 1 day ago. Symptoms: burning urination, back pain, fever",Urinary Tract Infection,MEDIUM,Genitourinary
"Since 3 days, I have had sore throat, sneezing and cough.",sore throat|sneezing|cough,"Since 3 days, I have had sore throat, sneezing and cough. Symptoms: sore throat, sneezing, cough",Common Cold,LOW,Respiratory
